iteration,timestamp,time_iso,sample_name,fault_class,agent,skill_id,skill_name,severity,rcf_score,detected,correct
1,1765832622.6824827,2025-12-15 21:03:42,SHIP500-B02-T01471,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.393509,False,1
1,1765832634.8910177,2025-12-15 21:03:54,SHIP500-B02-T01472,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.394448,False,1
1,1765832634.8910177,2025-12-15 21:03:54,SHIP500-B02-T01472,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.394448,False,1
1,1765832634.8910177,2025-12-15 21:03:54,SHIP500-B02-T01472,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.394448,False,1
1,1765832647.0811276,2025-12-15 21:04:07,SHIP500-B02-T01473,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.394448,False,0
1,1765832659.2666175,2025-12-15 21:04:19,SHIP500-B02-T01474,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.395625,False,1
1,1765832659.2666175,2025-12-15 21:04:19,SHIP500-B02-T01474,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.395625,False,1
1,1765832659.2666175,2025-12-15 21:04:19,SHIP500-B02-T01474,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.395625,False,1
1,1765832671.484793,2025-12-15 21:04:31,SHIP500-B02-T01475,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.392806,False,1
1,1765832671.484793,2025-12-15 21:04:31,SHIP500-B02-T01475,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.392806,False,1
1,1765832671.484793,2025-12-15 21:04:31,SHIP500-B02-T01475,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.392806,False,1
1,1765832683.681092,2025-12-15 21:04:43,SHIP500-B02-T01476,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.385615,False,1
1,1765832683.681092,2025-12-15 21:04:43,SHIP500-B02-T01476,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.385615,False,1
1,1765832683.681092,2025-12-15 21:04:43,SHIP500-B02-T01476,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.385615,False,1
