alarm_tag,active_samples,active_rate_pct,category,decision,reason,fault_class,fault_class_name
engine/alarm_main_thrust_gearbox_lube_oil_temperature_sensor_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_main_thrust_gearbox_neutral_state_1,3647,56.949,mode_status,REMOVE,"operational state indicator ('neutral_state'), not a fault signal",F09,Gearbox Fault
engine/alarm_main_thrust_gearbox_neutral_state_2,3644,56.902,mode_status,REMOVE,"operational state indicator ('neutral_state'), not a fault signal",F09,Gearbox Fault
engine/alarm_main_thrust_gearbox_reverse_engage_state_1,4,0.062,transient_glitch,REMOVE,"only 4 samples (<63ms, noise burst)",F09,Gearbox Fault
engine/alarm_main_thrust_gearbox_reverse_engage_state_2,20,0.312,mode_status,REMOVE,"operational state indicator ('engage_state'), not a fault signal",F09,Gearbox Fault
engine/alarm_main_thrust_gearbox_working_oil_pressure_low_alarm_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F02,Lubricating Oil System Fault
engine/alarm_main_thrust_gearbox_working_oil_pressure_low_alarm_2,1,0.016,transient_glitch,REMOVE,"only 1 samples (<63ms, noise burst)",F02,Lubricating Oil System Fault
engine/alarm_main_thrust_gearbox_working_oil_pressure_sensor_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_main_thrust_gearbox_working_oil_pressure_sensor_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_main_thrust_gearbox_working_oil_pressure_too_low_stop_alarm_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F02,Lubricating Oil System Fault
engine/alarm_main_thrust_gearbox_working_oil_pressure_too_low_stop_alarm_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F02,Lubricating Oil System Fault
engine/alarm_main_thrust_host_fault_pre_alarm_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
