scenario,n_seeds,precision,recall,f1,f1_std,d_f1,test_positives
add_noisy_alarm_5pct,10,0.014430665163472375,1.0,0.02842449689008022,0.007206125132057067,-0.40027346590885693,12
add_noisy_alarm_10pct,10,0.02987598647125141,1.0,0.05794446703876408,0.01203920503134151,-0.370753495760173,26
add_noisy_alarm_20pct,10,0.0560315670800451,1.0,0.10599017011473244,0.015492628171366693,-0.3227077926842047,49
add_informative_duplicate_F02,1,0.0,0.0,0.0,0.0,-0.4286979627989371,0
